umich_user_id,hashed_session_cookie_id,server_timestamp,hashed_ip,user_agent,url,initial_referrer_url,browser_language,course_id,country_cd,region_cd,timezone,os,browser,key,value
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:06:51 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet/outline,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
ef31598a0a50ca98c411d19de710dc9d1f19d413,07767224b0f2c0a6ee3698b4b465a344dcf9075f,Thu Jan 01 03:07:05 EST 2015,948ffbbd78bc234827b983d5f7dbffb0b08c63d1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/iLFug/how-to-handle-ethical-issues,https://www.google.com.au/,"en-GB,en-US;q=0.8,en;q=0.6",v0l76HmGEeSi3yIACzSGcw,AU,NSW,Australia/Sydney,Windows 7,Chrome,pageview,{}
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:07:06 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet/lecture/sU7ms/bonus-office-hours-manila-philippines,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
386a04196edf58eb3c6cd05e391b4b709ae9f42f,a3bf32e63dd62b37c3fb987de0945b36c63be022,Thu Jan 01 03:07:16 EST 2015,1b83e10f671d4ab1eaca4a0985e826804aa809b6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",https://www.coursera.org/learn/insidetheinternet/lecture/bF2dU/post-war-computing-and-communication,"https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CD0QFjAA&url=https%3A%2F%2Fwww.coursera.org%2F&ei=JjOcVLnpMJa2yASDkIKQCQ&usg=AFQjCNEAm-45Muq_nX5INW96szY5GEJGUg&bvm=bv.82001339,d.aWw",en-us,2UHGXkNtEeSfwCIACxeXRw,CA,NB,America/Moncton,Mac OS X,Safari,pageview,{}
44185055eece5d1bc7986d743d240a7633d968ff,c13cb2cdb6e7ebbc4e1e434a29e449e221f3c5d3,Thu Jan 01 03:07:31 EST 2015,3fc4059d61afa8089bd3753aaa6be568e848c95b,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/VSZIG/overview-course-goal-and-game-plan,https://www.google.com/,"en-US,en;q=0.8",v0l76HmGEeSi3yIACzSGcw,US,TX,America/Chicago,Windows 7,Chrome,pageview,{}
86dfa2d0e72d7818baf945a60070b79980fbb691,31e5655913d22596d2bf5272537ee2e9aa7fc529,Thu Jan 01 03:08:28 EST 2015,a32ec474ba972ebf9461b45d2b13956452fed5b3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",https://www.coursera.org/learn/negotiation-skills/lecture/xaCpq/a-position-based-or-interest-based-negotiation,https://duckduckgo.com/,en-us,v0l76HmGEeSi3yIACzSGcw,CA,AB,America/Edmonton,Mac OS X,Safari,pageview,{}
bec8d341e667a015f933c171705ab73c3affdf03,91888d8dd66a003b86c29f6558d037227143d5bf,Thu Jan 01 03:09:18 EST 2015,9610df05237e09498fc5799ec0266dc4b76292e6,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,https://www.coursera.org/learn/insidetheinternet/lecture/lY9Uw/security-public-private-key-secure-sockets,,en-US,2UHGXkNtEeSfwCIACxeXRw,US,TX,America/Chicago,Windows 8.1,IE,pageview,{}
826865822b68f6a6662f6dbbadad268801c140a3,a8408e904017fee7e764aad8d9fd826de4ca1039,Thu Jan 01 03:09:40 EST 2015,f858d3efd341eecfb1d7ac3fe207c87aa3bb3165,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/outline,https://www.google.com.au/,"en-US,en;q=0.8",v0l76HmGEeSi3yIACzSGcw,AU,VIC,Australia/Melbourne,Windows 7,Chrome,pageview,{}
1e791177b039f48de777a632003765c1ee10f349,f9535cf29cd4615ab9d4d6255daa2856cdb22d2b,Thu Jan 01 03:10:17 EST 2015,2c32206475f896b5c0fd9c75405251dc0b78c410,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",https://www.coursera.org/learn/negotiation-skills/lecture/Et54E/cross-cultural-negotiations,,en-us,v0l76HmGEeSi3yIACzSGcw,US,AZ,America/Phoenix,Mac OS X,Safari,pageview,{}
7c08d6e31857a6cf120b5a22b5c659ead920e4dc,7a7a18ff09da50f0f019dd8e54f00e8e930f0a77,Thu Jan 01 03:10:25 EST 2015,10020663d09d46332410620ed630c32c23fd9d88,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/o4ajG/should-i-negotiate,,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4,es;q=0.2",v0l76HmGEeSi3yIACzSGcw,US,CA,America/Los_Angeles,Mac OS X,Chrome,pageview,{}
e4f952f0d86e23b93f89af96eb7b92ab5354b281,13e7352214c0b6492f6d96e368a0627c5474db7e,Thu Jan 01 03:10:34 EST 2015,3018b01256be7f1b4f3fc7e477ee225028da23d5,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/xaCpq/a-position-based-or-interest-based-negotiation,https://www.coursera.org/courses,"en-US,en;q=0.8",v0l76HmGEeSi3yIACzSGcw,CA,AB,America/Edmonton,Windows 8.1,Chrome,pageview,{}
e4f952f0d86e23b93f89af96eb7b92ab5354b281,13e7352214c0b6492f6d96e368a0627c5474db7e,Thu Jan 01 03:11:06 EST 2015,3018b01256be7f1b4f3fc7e477ee225028da23d5,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/outline,https://www.coursera.org/courses,"en-US,en;q=0.8",v0l76HmGEeSi3yIACzSGcw,CA,AB,America/Edmonton,Windows 8.1,Chrome,pageview,{}
